genotype,day,fly,fly_id,alpha,beta,p0,log_alpha,log_beta,logit_p0,chamber_id,fly_id_64,var,exp_name,date,jumpdata,T1_x_ss_mean,T1_x_ss_median,T1_x_ss_std,T1_x_ss_CI_lower,T1_x_ss_CI_upper,T1_hab_mag_rel_mean,T1_hab_mag_rel_median,T1_hab_mag_rel_std,T1_hab_mag_rel_CI_lower,T1_hab_mag_rel_CI_upper,T1_hab_mag_abs_mean,T1_hab_mag_abs_median,T1_hab_mag_abs_std,T1_hab_mag_abs_CI_lower,T1_hab_mag_abs_CI_upper,T1_hab_time_half_rel_mean,T1_hab_time_half_rel_median,T1_hab_time_half_rel_std,T1_hab_time_half_rel_CI_lower,T1_hab_time_half_rel_CI_upper,T1_hab_time_95_rel_mean,T1_hab_time_95_rel_median,T1_hab_time_95_rel_std,T1_hab_time_95_rel_CI_lower,T1_hab_time_95_rel_CI_upper,T1_hab_time_half_abs_mean,T1_hab_time_half_abs_median,T1_hab_time_half_abs_std,T1_hab_time_half_abs_CI_lower,T1_hab_time_half_abs_CI_upper,T5_x_ss_mean,T5_x_ss_median,T5_x_ss_std,T5_x_ss_CI_lower,T5_x_ss_CI_upper,T5_hab_mag_rel_mean,T5_hab_mag_rel_median,T5_hab_mag_rel_std,T5_hab_mag_rel_CI_lower,T5_hab_mag_rel_CI_upper,T5_hab_mag_abs_mean,T5_hab_mag_abs_median,T5_hab_mag_abs_std,T5_hab_mag_abs_CI_lower,T5_hab_mag_abs_CI_upper,T5_hab_time_half_rel_mean,T5_hab_time_half_rel_median,T5_hab_time_half_rel_std,T5_hab_time_half_rel_CI_lower,T5_hab_time_half_rel_CI_upper,T5_hab_time_95_rel_mean,T5_hab_time_95_rel_median,T5_hab_time_95_rel_std,T5_hab_time_95_rel_CI_lower,T5_hab_time_95_rel_CI_upper,T5_hab_time_half_abs_mean,T5_hab_time_half_abs_median,T5_hab_time_half_abs_std,T5_hab_time_half_abs_CI_lower,T5_hab_time_half_abs_CI_upper
GD,7,20,27,NA,NA,0.22335830475,NA,NA,-1.2462018755563178,27,27,1,1893mb,2024-03-05,001000000100000000000000000000000100010000010100010100000010101000000000100000001110110010110000001000110001100001000000011011001000010001000000000101010000010000000100000110000000001100101000000000000000010101110001001000000010110001000100001010000101000100100001000001000000000100000000000000000110100000010010000000000000000000101111000001110010000010010000000000000100100000000000100001001000000000101000000111000000000000000011000000110100110000001000000000100000000001000000000100101010100000001000000100000110010010000001100000001000100000100001000100101010000000000000000010100001001000010000111100001100111000000001000010000100000100000101000000101001000000100101000000000000100110100000011010001110001001000100001000001010000010001001000000100011010000000000011000000000001000000110000011001100110000000001000010000000001000000101010000000000000000000001000101001110000010000000010000110000000000000001000001000000000100010001000100100000001110000001100000001000001000000001000000010000000110000110001110011010100000011000001000001000011011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GD,7,21,29,NA,NA,0.126948094475,NA,NA,-1.928216712577996,29,29,1,1893mb,2024-03-05,000000000000000010000000000000000000000000000000101100000001000100010000011000100000000000000000000000000000001001000000011000000000000000000000000000000000000000000000000000000001000010000000010010000011100100000000000100000000001000000000001000010000000001000000000000000001000000000000110010001001000000000000000000001101000000000000100100010000010000011000000010000010000000000001000000000110101000000010000001000000000000000000000000010000000000000000000000000000100000100000000001000000010001100010011000010000000101101000000000100100001000000100000110100000000000001000000010000000110000000000000000000000000000100000000001000000000000000000000000000000000000000000000000000000000100000000000000000000000100001000100010000000100000010100000000000000000000000100000000000000000000000000001000000010000000000000101000010000001000000000000000000000000000000000100111110010000011000000000000000100100000000000000011000000101000101110000000001100000000100000000000010010000000000000000000001010000000001000110010000000000110000000001000000100001110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GD,7,22,30,NA,NA,0.34943492075,NA,NA,-0.621524000302458,30,30,1,1893mb,2024-03-05,011011101101011101000101010110011000001000111001011100000001111000101101110111000000000000100101001000000000010000100000110111001001000000000000000000000001100010010001000001000100000000100011010100100011010010000111011110001001101011100001000110100000001000010100100000010111100100000100100110001010110111101000100000010100000000100010000010110011100010110000001000101000100110000001100100111110100011101010010001100000001100000000000000000001110000100100001000100000111011100110101010000000011000000101001011011000000011000101010011000000100001000011010110000101010110000010110000000011001000000111101001101100000100001000010011010010000011101101100010010110100001000001000101100000011100001000100100000001000000011001001000100110011110100000000100001001010010011110001000001001000000100000000000011011010010101000000100010100000000010101001100000100000101100010101000001011011001010000010111000010000000000110001010100110111000000011100010011101000000010011110001001010100100100100010111000000000110000101111011111010110111001100101011010110001110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GD,7,23,31,NA,NA,0.0047562973506249,NA,NA,-5.343518136422952,31,31,1,1893mb,2024-03-05,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GD,7,24,32,NA,NA,0.004740042611125,NA,NA,-5.346957841387189,32,32,1,1893mb,2024-03-05,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GD,7,25,33,NA,NA,0.215065205875,NA,NA,-1.294659384237256,1,33,1,1899mb,2024-03-05,100110000100000100000100000000001000000001010111010000000000010110100000101110000000110000110001101101000000000000000011101000111000000011000010000000110000110000000000001000000000001100000000000001101010000111001101100100000000000100001000000000011000000000000101001100010100000011000010101001110000001001000100000000100010000000000000000001000000110000000000010000001000100000000010010000000000000101000000001010000011001001000000100100100100000000000000000000001001001010001000000000010000111000000000000000000000010000000000000010100001000000000000100101010100100000000000000001110000000000100110000110100000000001000000000000000000000001010100100100000000101000010010000000111000000000000000001000000000000000000000000001101010000000100000100100010000000000000100010010000010100010000000001010001100010010110000101000101101011000000000000100100000000000000001000010000000100001000000000000001000000000000000101000010000000100010000000000010101000000000000000011000000000000000000111010010000110011100100010011011110110010011000101101011111000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GD,7,26,34,NA,NA,0.17036056125,NA,NA,-1.5830740557186105,2,34,1,1899mb,2024-03-05,000000010010000010010001110011100010000000101000100010000000010001000000000100000000000100000000000100100001000001000100000010100100001000000000001000100001000001000000000001000000000000110000000000000110001010000000001001100000000000100101010000001000100000010000100100101011100000000000000111000000000110000000000000100000000010010010001000000000000000000000000000010001000000100000010110000000101010000100000000000000010000010000000100000000000000000001001000001000010001000000000111000000000000100100010000000000000001000010000000011000000000000010100000100000000100000000000000000000000010010000110000010010001000000000000000000100100010000000000100001001000000000000010001000000100001001101000000000000100100000000000001000000000100101010000011000000000000001001000000010000000100000000001000001001000000010000001000100100100001000100000000100000100000000000001000010000000000000000000010000000000010000000010000000000000010000001010001100000000000000000000000000000000000000010000000000000001000011101000000001001111011110100001001101000100111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GD,7,27,35,NA,NA,0.295380026375,NA,NA,-0.8693958606820833,3,35,1,1899mb,2024-03-05,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000010000111010100001000001001000001001001010101000101100110000000101010000000000101011001010000011000100000100000000000000000101001001000010100000000100011100010010000001000100000100010010000000010010010001001111110101101000001100101111001110100001101100110101011000000010101001001010000010010000110100001010010010000010001010000010010000000010000000110111000110010001111000010000001001011101010010010001110111110101110001000101000010001010100100100110111001000101010000001000000100100010101000010100010001100000000000001000100101001111110000101101100000001001010000110100100000100010000000001001011001000011110010001001010001000001000000100100101010101010101101000111010111000100101010110010110111000010010010101000100000000110000001001001110000000110110100010101000001000010001001010100000100111001111000001101111000100110011110110111111101110111011010011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GD,7,28,37,NA,NA,0.0548497064,NA,NA,-2.8467471217680456,5,37,1,1899mb,2024-03-05,100000000000000000000000000000100000000000000100000001000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000100000010000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000000000000000000000100000000000000001000000000000000000010000000000001000000000000000000000000000000100010000000000000000000000000000000000001000000000000000000000100000000000000000000100000000000000000000001001000100000000000000000000000000000000000000000000000010000000000000000100000000000000000000000000000000000000000000000000000001000000000010000000001000101100000000000000000000000000000000000000000000000100000000000001000000000000000000000000000000000000000000000000000000000000000000000000000010000000100000000010001010000000000000000000000100000000000000000000000000000000000000000000010000010000000000000000000000000000000010000000000100000000000000000000000001000000000010000000010000000000000000000100000000000000001110000011000001000000000001010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GD,7,29,38,NA,NA,0.0492043131125,NA,NA,-2.9613179146332373,6,38,1,1899mb,2024-03-05,101000000000000000001000000000000000000000100000000000000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000100000000000000000000000000000000000000000011100000000100000000000000000000000100001000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000010000000000000000000000000000000000000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000100000000000000000100100000010000000000000000010000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000100000000000001000000000000100000000100000000000000000000000000000001100000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000100000000000000011010001001001010110100001000100001000000010000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GD,7,30,39,NA,NA,0.0691222622875,NA,NA,-2.60025109122222,7,39,1,1899mb,2024-03-05,100010010010000000000000000010000000010000000000000000000000000000000000000000000000001000000000000000000000000000001000000100000000100000000000000000000000000000000010000100000001000000010000000000001111000000000000000000000000000000000000000000000011001000010000001000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000001000100000000000000000000000000000000010000000000000000000000000000000000000000000000000100000000000000010000000000000010000000000000001000010000000100000000010010000000000000000000000000000000000000100000000000000000000000000000100000100000100000000000100000000000010000000000000000000000000000000000000000000000000010000000000000000000000000000000001000000000000000000000000000000000000000000000100000000000000000000000000000000000000100000000000010000000010000000000000000000000000000000100000000000000000000000001000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011110101010000010100010001001110011000101010000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GD,7,31,40,NA,NA,0.0293442256875,NA,NA,-3.498876111927028,8,40,1,1899mb,2024-03-05,000000100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000100000000001000100000000010000000000000000000000000000000000000000000010000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000010000000000000000000000000000000000000000010000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000100000000000000000000000000000000000000000000000000000000100000000000000000000000000010000000000000000001000000000000000001000001000000100000000000000000000001000000000000000000000000000000000010010000000000000000000010000000000000000000000000000000000000000000000000000100001000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GD,7,32,41,NA,NA,0.17533161375,NA,NA,-1.5483022329560827,9,41,1,1899mb,2024-03-05,011111110011101011000000001000010000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000010010010000001100000100000011100010001010010000000101100000000000001011011000010010100000000100000000000011000000000000101001000101010000100000000010000111000000001000101000000000000000101100000000000110001111001001100001000001001001101011001101000100000010000000000010000000000000001010111111000010000000110110000000000001010000000000000000010000000000100001010010010100000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000001001010101000100000000000000011001100000111000001000100000100000010000000000000000100001000100000000100000000000000000000000000000000000000000000011000000000010000001000010010000000000000000000000001111001000000000000001101100000000001011010011010000001101100000000000000000000000000000000010000000000000000000000000001000000000000000000000000000001000000000010010000000000101001000001000000100000000100100011001001001110001000110010000100111100001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GD,7,33,42,NA,NA,0.1079923253124999,NA,NA,-2.111414573774844,10,42,1,1899mb,2024-03-05,000000000010000000100000100000000000000010100010000000000000000000000000100001000000000000000001000000000000000000000000000000000000000000000000000100000000010010000101000000000000001000000000000010000000101100000010000110000000000010000000000010000000000000000000000000000010000000000000100000001000000000000000010000000000000000000000000000000001000000000001000000000000000000000000000000000000000011100000000000000000000000000000000010000001000100000000000000000000000000000000100000000100010000010000000000000001010000000000000000000000000000000000010000010010000000000100000110000000000000000000100000000001001000000001000000000000000000000010000000000001100000000000000000000000001000010100000000000000000000000000000000000000100001000000000010000001000010001000000000110000001000000000000000000001000100000100000000100001000000000000100100100010000000010000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000001001000000100010010111011101111010001001110100101011000011101011001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
